timestamp,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,seaLvlPressure,windDirection,windSpeed,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos
2016-06-01 00:00:00,13.3,0.0,3.9,0.0,1013.6,180.0,3.1,0.9749279121818236,-0.22252093395631434,0,0.0,1.0
2016-06-01 01:00:00,13.3,0.0,3.3,0.0,1013.3,200.0,2.6,0.9749279121818236,-0.22252093395631434,0,0.25881904510252074,0.9659258262890683
2016-06-01 02:00:00,12.8,0.0,3.3,0.0,1013.6,180.0,2.6,0.9749279121818236,-0.22252093395631434,0,0.49999999999999994,0.8660254037844387
2016-06-01 03:00:00,11.1,0.0,3.3,0.0,1013.6,170.0,3.1,0.9749279121818236,-0.22252093395631434,0,0.7071067811865476,0.7071067811865476
2016-06-01 04:00:00,11.1,0.0,3.3,0.0,1013.7,180.0,3.6,0.9749279121818236,-0.22252093395631434,0,0.8660254037844386,0.5000000000000001
2016-06-01 05:00:00,10.6,0.0,3.3,0.0,1014.2,160.0,2.1,0.9749279121818236,-0.22252093395631434,0,0.9659258262890683,0.25881904510252074
2016-06-01 06:00:00,11.7,0.0,3.9,0.0,1014.8,160.0,4.1,0.9749279121818236,-0.22252093395631434,0,1.0,6.123233995736766e-17
2016-06-01 07:00:00,13.9,0.0,4.4,0.0,1015.1,160.0,2.1,0.9749279121818236,-0.22252093395631434,0,0.9659258262890683,-0.25881904510252063
2016-06-01 08:00:00,16.7,0.0,5.0,0.0,1015.2,170.0,2.6,0.9749279121818236,-0.22252093395631434,0,0.8660254037844387,-0.4999999999999998
2016-06-01 09:00:00,19.4,0.0,4.4,0.0,1015.2,130.0,3.1,0.9749279121818236,-0.22252093395631434,0,0.7071067811865476,-0.7071067811865475
2016-06-01 10:00:00,21.7,0.0,5.0,0.0,1015.0,,1.5,0.9749279121818236,-0.22252093395631434,0,0.49999999999999994,-0.8660254037844387
2016-06-01 11:00:00,22.8,0.0,3.9,0.0,1015.0,,1.5,0.9749279121818236,-0.22252093395631434,0,0.258819045102521,-0.9659258262890682
2016-06-01 12:00:00,23.9,0.0,4.4,0.0,1014.5,,2.6,0.9749279121818236,-0.22252093395631434,0,1.2246467991473532e-16,-1.0
2016-06-01 13:00:00,23.9,0.0,1.7,0.0,1013.9,,2.1,0.9749279121818236,-0.22252093395631434,0,-0.2588190451025208,-0.9659258262890683
2016-06-01 14:00:00,24.4,0.0,0.6,0.0,1013.6,300.0,3.1,0.9749279121818236,-0.22252093395631434,0,-0.4999999999999997,-0.8660254037844388
2016-06-01 15:00:00,24.4,0.0,-1.1,0.0,1013.6,160.0,1.5,0.9749279121818236,-0.22252093395631434,0,-0.7071067811865471,-0.7071067811865479
2016-06-01 16:00:00,25.6,0.0,-3.9,0.0,1012.9,,3.1,0.9749279121818236,-0.22252093395631434,0,-0.8660254037844385,-0.5000000000000004
2016-06-01 17:00:00,26.7,0.0,-3.9,0.0,1012.5,30.0,2.6,0.9749279121818236,-0.22252093395631434,0,-0.9659258262890683,-0.25881904510252063
